CPU: Intel Architectural Perfmon, speed 2666.84 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        app name                 symbol name
69634     6.9977  xen-unknown              /xen-unknown
66858     6.7188  vmlinux                  get_phys_to_machine
64284     6.4601  vmlinux                  hypercall_page
60198     6.0495  xen-syms                 syscall_enter
44021     4.4238  vmlinux                  xen_restore_fl_direct
41137     4.1340  ixgbevf                  ixgbevf_clean_rx_irq
33797     3.3964  vmlinux                  cpu_relax
30554     3.0705  xen-syms                 restore_all_guest
29932     3.0080  vmlinux                  __alloc_skb
28262     2.8401  ixgbevf                  ixgbevf_msix_clean_tx
26454     2.6584  ixgbevf                  ixgbevf_xmit_frame
20183     2.0283  vmlinux                  check_events
19686     1.9783  vmlinux                  bit_spin_lock.clone.42
18489     1.8580  vmlinux                  mutex_spin_on_owner
15910     1.5988  vmlinux                  kmem_cache_alloc_node
14116     1.4186  xen-syms                 do_xen_version
13860     1.3928  vmlinux                  is_xen_swiotlb_buffer
13842     1.3910  vmlinux                  skb_release_data
13483     1.3549  vmlinux                  __kmalloc_node_track_caller
13287     1.3353  vmlinux                  __netif_receive_skb
12671     1.2733  vmlinux                  xen_swiotlb_map_page
12637     1.2699  vmlinux                  __slab_free
12037     1.2096  vmlinux                  test_ti_thread_flag
11499     1.1556  vmlinux                  dev_gro_receive
10810     1.0863  ixgbevf                  ixgbevf_alloc_rx_buffers
10712     1.0765  vmlinux                  __phys_addr
9903      0.9952  pfinder                  pfinder_simple_forward
9455      0.9502  xen-syms                 test_all_events
8968      0.9012  vmlinux                  need_resched
7862      0.7901  vmlinux                  arch_local_irq_save
6980      0.7014  vmlinux                  setup_object.clone.33
6197      0.6228  vmlinux                  xen_force_evtchn_callback
6065      0.6095  vmlinux                  atomic_dec_and_test
5987      0.6017  vmlinux                  mfn_to_pfn
5853      0.5882  vmlinux                  xen_unmap_single
5747      0.5775  vmlinux                  inet_gro_receive
5572      0.5599  vmlinux                  __slab_alloc
5485      0.5512  vmlinux                  get_page_from_freelist
5377      0.5404  vmlinux                  kfree
5337      0.5363  ixgbevf                  ixgbevf_unmap_and_free_tx_resource
5254      0.5280  vmlinux                  range_straddles_page_boundary
4976      0.5001  vmlinux                  new_slab
4870      0.4894  vmlinux                  kmem_cache_free
4400      0.4422  vmlinux                  p2m_top_index
4340      0.4361  vmlinux                  arch_local_irq_disable
4223      0.4244  vmlinux                  net_tx_action
4137      0.4157  vmlinux                  __kfree_skb
4101      0.4121  vmlinux                  eth_type_trans
4056      0.4076  vmlinux                  skb_put
3725      0.3743  vmlinux                  netpoll_rx
3697      0.3715  vmlinux                  xen_save_fl_direct
3694      0.3712  vmlinux                  virt_to_head_page
3577      0.3595  vmlinux                  xen_irq_disable_direct
3533      0.3550  vmlinux                  do_raw_spin_lock
3501      0.3518  vmlinux                  phys_to_machine
3494      0.3511  vmlinux                  skb_release_head_state
3482      0.3499  ixgbevf                  ixgbevf_maybe_stop_tx
3361      0.3378  vmlinux                  __netdev_alloc_skb
3334      0.3350  vmlinux                  get_rps_cpu
3303      0.3319  vmlinux                  slab_pre_alloc_hook.clone.35
3210      0.3226  vmlinux                  xen_restore_fl_direct_end
3073      0.3088  vmlinux                  netif_receive_skb
3054      0.3069  vmlinux                  get_slab
2983      0.2998  pfinder                  pfinder_forward
2942      0.2957  vmlinux                  xen_phys_to_bus
2857      0.2871  vmlinux                  arch_local_irq_save
2719      0.2732  vmlinux                  napi_skb_finish
2718      0.2731  vmlinux                  dev_kfree_skb_irq
2615      0.2628  vmlinux                  napi_gro_receive
2505      0.2517  vmlinux                  arch_local_save_flags
2496      0.2508  vmlinux                  pfn_to_mfn
2352      0.2364  vmlinux                  trace_kmalloc_node
2250      0.2261  vmlinux                  xen_bus_to_phys
2153      0.2164  vmlinux                  arch_local_irq_restore
2066      0.2076  vmlinux                  dev_kfree_skb_any
2048      0.2058  xen-syms                 test_guest_events
1885      0.1894  vmlinux                  __raise_softirq_irqoff
1809      0.1818  vmlinux                  __alloc_pages_nodemask
1770      0.1779  vmlinux                  skb_set_dev
